# kind	commit	bench	measured	ms
rat-O0	a8f5e76eb3b5b70c70c5a251fb831c85bbb69bea	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:07:45+00:00	0
rat-O1	a8f5e76eb3b5b70c70c5a251fb831c85bbb69bea	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:07:53+00:00	0
rat-O0	bcc85d98753d744089b03bb43f07ed65624d8f17	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:08:05+00:00	0
rat-O1	bcc85d98753d744089b03bb43f07ed65624d8f17	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:08:13+00:00	0
rat-O0	9c5a1c6754796ac7ebb60b73a07c1b2316244b89	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:08:25+00:00	0
rat-O1	9c5a1c6754796ac7ebb60b73a07c1b2316244b89	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:08:33+00:00	0
rat-O0	00bfcac4fafb497087a223496e10e1ee812f8c4e	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:08:45+00:00	0
rat-O1	00bfcac4fafb497087a223496e10e1ee812f8c4e	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:08:53+00:00	0
rat-O0	5122e46f102a1dc32f8ba5aece1623d0e78156ce	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:09:04+00:00	0
rat-O1	5122e46f102a1dc32f8ba5aece1623d0e78156ce	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:09:12+00:00	0
rat-O0	970c920111b43572d6b91e99076fd7cf752f1384	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:09:24+00:00	0
rat-O1	970c920111b43572d6b91e99076fd7cf752f1384	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:09:32+00:00	0
rat-O0	d2949e7089bdb7123cd91420b1e42bb65a388a12	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:09:44+00:00	0
rat-O1	d2949e7089bdb7123cd91420b1e42bb65a388a12	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:09:52+00:00	0
rat-O0	3d34c344e464bc87722bd4330b4da80f3c75db3e	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:10:04+00:00	0
rat-O1	3d34c344e464bc87722bd4330b4da80f3c75db3e	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:10:12+00:00	0
rat-O0	a999f1489a03bbbd580d294ede90563a1bd21005	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:10:24+00:00	0
rat-O1	a999f1489a03bbbd580d294ede90563a1bd21005	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:10:32+00:00	0
rat-O0	f48938ba5445370b6e7a737fed531e94f05a87e1	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:10:44+00:00	0
rat-O1	f48938ba5445370b6e7a737fed531e94f05a87e1	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:10:52+00:00	0
rat-O0	5b34018f1351e1aa25d9da8497d8dffe30f59a12	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:11:04+00:00	0
rat-O1	5b34018f1351e1aa25d9da8497d8dffe30f59a12	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:11:12+00:00	0
rat-O0	7c8a971dd25ed8a7d7d6ee1b880b5def5936c731	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:11:24+00:00	0
rat-O1	7c8a971dd25ed8a7d7d6ee1b880b5def5936c731	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:11:32+00:00	0
rat-O0	f3e5d68d4531fdb040013496dd69984b264ee50a	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:11:44+00:00	0
rat-O1	f3e5d68d4531fdb040013496dd69984b264ee50a	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:11:52+00:00	0
rat-O0	a636846e6258072d302dd2ab1ed8b498c4e94fdb	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:12:04+00:00	0
rat-O1	a636846e6258072d302dd2ab1ed8b498c4e94fdb	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:12:05+00:00	0
rat-O0	19a7045b1e0885dbe205341d242d7d7e8621d4ee	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:12:17+00:00	0
rat-O1	19a7045b1e0885dbe205341d242d7d7e8621d4ee	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:12:19+00:00	0
rat-O0	7212fc5e44f317dd2ffe89fc9085130ca6c48acf	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:12:30+00:00	0
rat-O1	7212fc5e44f317dd2ffe89fc9085130ca6c48acf	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:12:32+00:00	0
rat-O0	a44f89ed8e5d104316b7f82b4bec5f15b14bcfb0	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:12:50+00:00	0
rat-O1	a44f89ed8e5d104316b7f82b4bec5f15b14bcfb0	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:12:59+00:00	0
rat-O0	383ae14eff2475657b0acb727b10849348a1c25a	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:13:17+00:00	0
rat-O1	383ae14eff2475657b0acb727b10849348a1c25a	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:13:25+00:00	0
rat-O0	e930213925ee97c66a19574389691f1cb97919b9	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:13:44+00:00	0
rat-O1	e930213925ee97c66a19574389691f1cb97919b9	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:13:52+00:00	0
rat-O0	3951f9bc039b7d883206a8012f570754d14a3f8a	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:14:10+00:00	0
